id,type,name,url
amnhp_1002042,Person,"Swanton, John Reed 1873-1958",http://data.library.amnh.org/archives-authorities/id/amnhp_1002042
amnhp_1002072,Person,"Teit, James Alexander 1864-1922",http://data.library.amnh.org/archives-authorities/id/amnhp_1002072
amnhc_2000039,Expedition,Patagonian Expedition (1899-1900),http://data.library.amnh.org/archives-authorities/id/amnhc_2000039
amnhc_2000040,Expedition,Jesup Arapaho Expedition (1899-1901),http://data.library.amnh.org/archives-authorities/id/amnhc_2000040
amnhc_2000041,Expedition,Huntington Expeditions to California,http://data.library.amnh.org/archives-authorities/id/amnhc_2000041
amnhc_2000042,Expedition,Smith Colombian Expedition (1898-1901),http://data.library.amnh.org/archives-authorities/id/amnhc_2000042
amnhc_2000043,Expedition,Central American Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000043
amnhc_2000044,Expedition,Vertebrate Paleontology Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000044
amnhc_2000045,Expedition,Villard Expedition to Oregon,http://data.library.amnh.org/archives-authorities/id/amnhc_2000045
amnhc_2000046,Expedition,Anthropology Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000046
amnhc_2000047,Expedition,Expeditions from Department of Mammalogy and Ornithology,http://data.library.amnh.org/archives-authorities/id/amnhc_2000047
amnhc_2000048,Expedition,Andrew J. Stone Expedition (1st : 1901); Andrew J. Stone Expedition (2nd : 1902); Andrew J. Stone Expedition (3rd : 1903),http://data.library.amnh.org/archives-authorities/id/amnhc_2000048
amnhc_2000049,Expedition,Jacob H. Schiff Chinese Expedition (1901-1904),http://data.library.amnh.org/archives-authorities/id/amnhc_2000049
amnhp_1001852,Person,"Schiff, Jacob H. (Jacob Henry) 1847-1920",http://data.library.amnh.org/archives-authorities/id/amnhp_1001852
http://id.loc.gov/authorities/names/n85815624,,"De Forest, Emily Johnston, 1851-1942",http://data.library.amnh.org/archives-authorities/id/http://id.loc.gov/authorities/names/n85815624
amnhc_2000050,Expedition,Whitney Expeditions (1901-1904),http://data.library.amnh.org/archives-authorities/id/amnhc_2000050
amnhc_2000051,Expedition,Batty Expeditions to Mexico (1903-1906),http://data.library.amnh.org/archives-authorities/id/amnhc_2000051
amnhc_2000052,Expedition,Puerto Rico Expedition (1906),http://data.library.amnh.org/archives-authorities/id/amnhc_2000052
amnhc_2000053,Expedition,Chapman Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000053
amnhc_2000054,Expedition,Invertebrate Zoology Expedition (1906-1908),http://data.library.amnh.org/archives-authorities/id/amnhc_2000054
amnhc_2000055,Expedition,Vertebrate Palaeontology Expeditions,http://data.library.amnh.org/archives-authorities/id/amnhc_2000055
amnhc_2000056,Expedition,South Pacific Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000056
amnhc_2000057,Expedition,Ornithology Expedition,http://data.library.amnh.org/archives-authorities/id/amnhc_2000057
amnhc_2000058,Expedition,Florissant Expeditions (1906-1908),http://data.library.amnh.org/archives-authorities/id/amnhc_2000058
