id1,id2,type,role,date
amnhc_3000013,amnhp_1002325,identity,employedBy,1954
amnhc_3000013,amnhp_1001500,identity,employedBy,1968
amnhc_3000013,amnhp_1000407,identity,employedBy,1969
amnhc_3000013,amnhp_1001508,identity,employedBy,1987
amnhc_3000013,amnhp_1000754,identity,employedBy,1990
amnhc_3000013,amnhp_1001720,identity,employedBy,2000
amnhc_3000013,amnhc_2000086,identity,,1909
amnhc_3000013,amnhc_2000127,identity,participantIn,1915
amnhc_3000013,amnhc_2000132,identity,participantIn,1916
amnhc_3000013,amnhc_2000133,identity,participantIn,1916
amnhc_3000013,amnhc_2000140,identity,participantIn,1918
amnhc_3000013,amnhc_2000146,identity,participantIn,1919
amnhc_3000013,amnhc_2000156,identity,participantIn,1919
amnhc_3000013,amnhc_2000164,identity,,1920
amnhc_3000013,amnhc_2000167,identity,,1921
amnhc_3000013,amnhc_2000177,identity,participantIn,1922
amnhc_3000013,amnhc_2000187,identity,participantIn,1923
amnhc_3000013,amnhc_2000192,identity,participantIn,1924
amnhc_3000013,amnhc_2000206,identity,participantIn,1926
amnhc_3000013,amnhc_2000227,identity,participantIn,1927
amnhc_3000013,amnhc_2000238,identity,participantIn,1928
amnhc_3000013,amnhc_2000239,identity,participantIn,1928
amnhc_3000013,amnhc_2000245,identity,,1928
amnhc_3000013,amnhc_2000256,identity,,1929
amnhc_3000013,amnhc_2000259,identity,,1929
amnhc_3000013,amnhc_2000263,identity,participantIn,1929
amnhc_3000013,amnhc_2000262,identity,participantIn,1929
amnhc_3000013,amnhc_2000280,identity,participantIn,1930
amnhc_3000013,amnhc_2000285,identity,,1930
amnhc_3000013,amnhc_2000290,identity,participantIn,1931
amnhc_3000013,amnhc_2000300,identity,,1932
amnhc_3000013,amnhc_2000302,identity,participantIn,1932
amnhc_3000013,amnhc_2000305,identity,,1933
amnhc_3000013,amnhc_2000322,identity,,1934
amnhc_3000013,amnhc_2000329,identity,participantIn,1935
amnhc_3000013,amnhc_2000378,identity,,1937
amnhc_3000013,amnhc_2000402,identity,participantIn,1939
amnhc_3000013,amnhc_2000448,identity,participantIn,1947
amnhc_3000013,amnhc_2000450,identity,participantIn,1947
amnhc_3000013,amnhc_2000459,identity,participantIn,1948
amnhc_3000013,amnhc_2000467,identity,participantIn,1950
amnhc_3000013,amnhc_2000469,identity,participantIn,1950
amnhc_3000013,amnhc_2000490,identity,participantIn,1953
amnhc_3000013,amnhc_2000528,identity,participantIn,1956
amnhc_3000013,amnhc_2000529,identity,,1956
amnhc_3000013,amnhc_2000532,identity,participantIn,1956
amnhc_3000013,amnhc_2000576,identity,participantIn,1961
amnhc_3000013,amnhc_2000587,identity,participantIn,1962
amnhc_3000013,amnhc_2000601,identity,participantIn,1964
amnhc_3000013,amnhc_2000602,identity,participantIn,1964
amnhc_3000013,amnhc_2000607,identity,participantIn,1965
amnhc_3000013,amnhc_2000615,identity,participantIn,1967
amnhc_3000013,amnhc_2000624,identity,participantIn,1968
amnhc_3000013,amnhc_2000628,identity,participantIn,1970
amnhc_3000013,amnhc_2000636,identity,participantIn,1970
amnhc_3000013,amnhc_2000657,identity,participantIn,1974
amnhc_3000013,amnhc_2000653,identity,participantIn,1975
amnhc_3000013,amnhc_2000675,identity,participantIn,1979
amnhc_3000013,amnhc_2000685,identity,participantIn,1982
amnhc_3000013,amnhc_2000690,identity,participantIn,1984
amnhc_3000013,amnhc_2000697,identity,participantIn,1989
amnhc_3000013,amnhc_2000702,identity,participantIn,1994
amnhc_3000013,amnhc_3000015,identity,worksWith,1909
amnhc_3000013,amnhc_3000040,identity,participantIn,1957
amnhc_3000013,amnhc_3000018,identity,participantIn,1959
