id,url,title,dateIssued,pdfUrl,thumbUrl
6278,http://digitallibrary.amnh.org/handle/2246/6278?show=full,"Annual report, 1963.",1964,http://digitallibrary.amnh.org/bitstream/handle/2246/6278/R1963.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6278/R1963.pdf.jpg?sequence=4&isAllowed=y
6277,http://digitallibrary.amnh.org/handle/2246/6277?show=full,"Annual report, 1962.",1963,http://digitallibrary.amnh.org/bitstream/handle/2246/6277/R1962.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6277/R1962.pdf.jpg?sequence=4&isAllowed=y
6276,http://digitallibrary.amnh.org/handle/2246/6276?show=full,"Annual report, 1961.",1962,http://digitallibrary.amnh.org/bitstream/handle/2246/6276/R1961.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6276/R1961.pdf.jpg?sequence=4&isAllowed=y
6275,http://digitallibrary.amnh.org/handle/2246/6275?show=full,"Annual report, 1960.",1961,http://digitallibrary.amnh.org/bitstream/handle/2246/6275/R1960.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6275/R1960.pdf.jpg?sequence=4&isAllowed=y
6274,http://digitallibrary.amnh.org/handle/2246/6274?show=full,"Annual report, 1959.",1959,http://digitallibrary.amnh.org/bitstream/handle/2246/6274/R1959.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6274/R1959.pdf.jpg?sequence=4&isAllowed=y
6273,http://digitallibrary.amnh.org/handle/2246/6273?show=full,"Annual report, 1958.",1959,http://digitallibrary.amnh.org/bitstream/handle/2246/6273/R1958.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6273/R1958.pdf.jpg?sequence=4&isAllowed=y
6272,http://digitallibrary.amnh.org/handle/2246/6272?show=full,"Annual report, 1957.",1958,http://digitallibrary.amnh.org/bitstream/handle/2246/6272/R1957.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6272/R1957.pdf.jpg?sequence=4&isAllowed=y
6271,http://digitallibrary.amnh.org/handle/2246/6271?show=full,"Annual report, 1956.",1957,http://digitallibrary.amnh.org/bitstream/handle/2246/6271/R1956.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6271/R1956.pdf.jpg?sequence=4&isAllowed=y
6270,http://digitallibrary.amnh.org/handle/2246/6270?show=full,"Annual report, 1955.",1956,http://digitallibrary.amnh.org/bitstream/handle/2246/6270/R1955.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6270/R1955.pdf.jpg?sequence=4&isAllowed=y
6269,http://digitallibrary.amnh.org/handle/2246/6269?show=full,"Annual report, 1954.",1955,http://digitallibrary.amnh.org/bitstream/handle/2246/6269/R1954.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6269/R1954.pdf.jpg?sequence=4&isAllowed=y
6268,http://digitallibrary.amnh.org/handle/2246/6268?show=full,"Annual report, 1953.",1954,http://digitallibrary.amnh.org/bitstream/handle/2246/6268/R1953.pdf?sequence=5&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6268/R1953.pdf.jpg?sequence=4&isAllowed=y
6267,http://digitallibrary.amnh.org/handle/2246/6267?show=full,"Annual report, 1952.",1953,http://digitallibrary.amnh.org/bitstream/handle/2246/6267/R1952.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6267/R1952.pdf.jpg?sequence=4&isAllowed=y
6266,http://digitallibrary.amnh.org/handle/2246/6266?show=full,"Annual report, 1951.",1952,http://digitallibrary.amnh.org/bitstream/handle/2246/6266/R1951.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6266/R1951.pdf.jpg?sequence=4&isAllowed=y
6260,http://digitallibrary.amnh.org/handle/2246/6260?show=full,"Annual report, 1945.",1946,http://digitallibrary.amnh.org/bitstream/handle/2246/6260/R1945.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6260/R1945.pdf.jpg?sequence=4&isAllowed=y
6259,http://digitallibrary.amnh.org/handle/2246/6259?show=full,"Annual report, 1944.",1945-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6259/R1944.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6259/R1944.pdf.jpg?sequence=4&isAllowed=y
6258,http://digitallibrary.amnh.org/handle/2246/6258?show=full,"Annual report, 1943.",1944-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6258/R1943.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6258/R1943.pdf.jpg?sequence=4&isAllowed=y
6257,http://digitallibrary.amnh.org/handle/2246/6257?show=full,"Annual report, 1942.",1943-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6257/R1942.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6257/R1942.pdf.jpg?sequence=4&isAllowed=y
6256,http://digitallibrary.amnh.org/handle/2246/6256?show=full,"Annual report, 1941.",1942-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6256/R1941.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6256/R1941.pdf.jpg?sequence=4&isAllowed=y
6255,http://digitallibrary.amnh.org/handle/2246/6255?show=full,"Annual report, 1940.",1941-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6255/R1940.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6255/R1940.pdf.jpg?sequence=4&isAllowed=y
6254,http://digitallibrary.amnh.org/handle/2246/6254?show=full,"Annual report, 1939.",1940-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6254/R1939.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6254/R1939.pdf.jpg?sequence=4&isAllowed=y
6253,http://digitallibrary.amnh.org/handle/2246/6253?show=full,"Annual report, 1938.",1939-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6253/R1938.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6253/R1938.pdf.jpg?sequence=4&isAllowed=y
6252,http://digitallibrary.amnh.org/handle/2246/6252?show=full,"Annual report, 1937.",1938-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6252/R1937.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6252/R1937.pdf.jpg?sequence=4&isAllowed=y
6251,http://digitallibrary.amnh.org/handle/2246/6251?show=full,"Annual report, 1936.",1937-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6251/R1936.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6251/R1936.pdf.jpg?sequence=4&isAllowed=y
6250,http://digitallibrary.amnh.org/handle/2246/6250?show=full,"Annual report, 1935.",1936-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6250/R1935.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6250/R1935.pdf.jpg?sequence=4&isAllowed=y
6249,http://digitallibrary.amnh.org/handle/2246/6249?show=full,"Annual report, 1934.",1935-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6249/R1934.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6249/R1934.pdf.jpg?sequence=4&isAllowed=y
6248,http://digitallibrary.amnh.org/handle/2246/6248?show=full,"Annual report, 1933.",1934-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6248/R1933.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6248/R1933.pdf.jpg?sequence=4&isAllowed=y
6247,http://digitallibrary.amnh.org/handle/2246/6247?show=full,"Annual report, 1932.",1933-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6247/R1932.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6247/R1932.pdf.jpg?sequence=4&isAllowed=y
6246,http://digitallibrary.amnh.org/handle/2246/6246?show=full,"Annual report, 1931.",1932-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6246/R1931.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6246/R1931.pdf.jpg?sequence=4&isAllowed=y
6245,http://digitallibrary.amnh.org/handle/2246/6245?show=full,"Annual report, 1930.",1931-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6245/R1930.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6245/R1930.pdf.jpg?sequence=4&isAllowed=y
6244,http://digitallibrary.amnh.org/handle/2246/6244?show=full,"Annual report, 1929.",1930-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6244/R1929.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6244/R1929.pdf.jpg?sequence=4&isAllowed=y
6243,http://digitallibrary.amnh.org/handle/2246/6243?show=full,"Annual report, 1928.",1929-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6243/R1928.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6243/R1928.pdf.jpg?sequence=4&isAllowed=y
6242,http://digitallibrary.amnh.org/handle/2246/6242?show=full,"Annual report, 1927.",1928-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6242/R1927.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6242/R1927.pdf.jpg?sequence=4&isAllowed=y
6241,http://digitallibrary.amnh.org/handle/2246/6241?show=full,"Annual report, 1926.",1927-05-01,http://digitallibrary.amnh.org/bitstream/handle/2246/6241/R1926.pdf?sequence=1&isAllowed=y,http://digitallibrary.amnh.org/bitstream/handle/2246/6241/R1926.pdf.jpg?sequence=4&isAllowed=y
